序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000056,*ST皇庭,2026-06-05,西藏自治区资金买入，成功率36.35%,1.84,5.1429,-4782523.0,37684635.0,42467158.0,80151793.0,332260417,-1.439389934914,24.123184375586,5.971,1818539510.4,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,4.34782609,-1.08695652,,
2,000520,凤凰航运,2026-06-05,3家机构买入，成功率45.21%,4.6,10.0478,48442625.11,92572392.59,44129767.48,136702160.07,445151511,10.882278036343,30.709130867131,3.856,4655583893.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,3.47826087,-4.56521739,,
3,000539,粤电力A,2026-06-05,2家机构卖出，成功率48.42%,8.25,-10.0327,-201191387.62,159099781.38,360291169.0,519390950.38,2460683995,-8.176238315396,21.107584372288,11.0669,22822471356.75,日跌幅偏离值达到7%的前5只证券,-5.6969697,-1.57575758,,
5,000608,阳光股份,2026-06-05,4家机构买入，成功率32.07%,5.52,9.9602,22441751.27,106264862.17,83823110.9,190087973.07,737258228,3.043947211126,25.783092795812,10.2702,4114760125.68,连续三个交易日内，涨幅偏离值累计达到20%的证券,5.43478261,15.94202899,,
13,001896,豫能控股,2026-06-05,2家机构卖出，成功率28.22%,19.88,-10.0045,-214080864.36,552561912.03,766642776.39,1319204688.42,6518799907,-3.284053313711,20.236925618831,19.6386,30332532840.4,日振幅值达到15%的前5只证券,-1.4084507,8.45070423,,
14,001896,豫能控股,2026-06-05,2家机构卖出，成功率28.22%,19.88,-10.0045,-214080864.36,552561912.03,766642776.39,1319204688.42,6518799907,-3.284053313711,20.236925618831,19.6386,30332532840.4,日跌幅偏离值达到7%的前5只证券,-1.4084507,8.45070423,,
19,002132,恒星科技,2026-06-05,江苏资金买入，成功率25.47%,5.86,4.4563,126550407.29,495832813.78,369282406.49,865115220.27,2937064860,4.308737236739,29.455094167379,16.8514,8199232368.46,连续三个交易日内，涨幅偏离值累计达到20%的证券,-1.36518771,-2.73037543,,
21,002138,顺络电子,2026-06-05,2家机构买入，成功率12.65%,55.61,10.0099,-182360222.04,648554869.75,830915091.79,1479469961.54,4303363809,-4.237620385676,34.37938383099,10.7228,42068950930.67,日涨幅偏离值达到7%的前5只证券,0.08991189,10.10609603,,
22,002251,步步高,2026-06-05,主力做T，成功率50.60%,4.86,9.9548,226444602.06,354494943.48,128050341.42,482545284.9,1638265990,13.822212231849,29.454636050889,15.9436,10461014498.34,日涨幅偏离值达到7%的前5只证券,-4.11522634,-6.79012346,,
23,002361,神剑股份,2026-06-05,2家机构买入，成功率41.79%,16.81,10.0131,133073091.36,483461419.1,350388327.74,833849746.84,2421921852,5.494524575601,34.429258985025,18.3602,13599609205.09,日涨幅偏离值达到7%的前5只证券,9.99405116,5.59190958,,
