序号,交易营业部名称,买入金额,买入金额-占总成交比例,卖出金额,卖出金额-占总成交比例,净额,类型,代码,名称
1,深股通专用,126363206.89,0.030634894545,230157700.57,0.055798337658,-103794493.68,日振幅值达到15%的前5只证券,000539,粤电力A
2,国信证券股份有限公司浙江互联网分公司,55472324.51,0.013448446374,42449533.0,0.010291262773,13022791.51,日振幅值达到15%的前5只证券,000539,粤电力A
3,东方财富证券股份有限公司拉萨金融城南环路证券营业部,53583521.6,0.012990533985,35797590.6,0.008678597512,17785931.0,日振幅值达到15%的前5只证券,000539,粤电力A
4,机构专用,42074212.68,0.0102002719,32856396.7,0.00796554846,9217815.98,日振幅值达到15%的前5只证券,000539,粤电力A
5,机构专用,41274700.0,0.010006441851,88063048.76,0.021349586469,-46788348.76,日振幅值达到15%的前5只证券,000539,粤电力A
1,深股通专用,126363206.89,0.030634894545,230157700.57,0.055798337658,-103794493.68,日振幅值达到15%的前5只证券,000539,粤电力A
2,机构专用,41274700.0,0.010006441851,88063048.76,0.021349586469,-46788348.76,日振幅值达到15%的前5只证券,000539,粤电力A
3,机构专用,19577061.0,0.004746169506,73471455.22,0.01781206997,-53894394.22,日振幅值达到15%的前5只证券,000539,粤电力A
4,招商证券股份有限公司深圳益田路免税商务大厦证券营业部,19994996.04,0.004847491688,66256904.85,0.01606300871,-46261908.81,日振幅值达到15%的前5只证券,000539,粤电力A
5,机构专用,15738870.98,0.003815656983,59474391.12,0.014418688358,-43735520.14,日振幅值达到15%的前5只证券,000539,粤电力A
1,深股通专用,115124755.4,0.039123666625,124072786.88,0.042164539974,-8948031.48,日换手率达到20%的前5只证券,000601,韶能股份
2,国泰海通证券股份有限公司武汉紫阳东路证券营业部,53052869.86,0.018029335104,90678518.0,0.030815927434,-37625648.14,日换手率达到20%的前5只证券,000601,韶能股份
3,平安证券股份有限公司宁波海晏北路证券营业部,33935104.5,0.011532408566,25308.0,8.600598e-06,33909796.5,日换手率达到20%的前5只证券,000601,韶能股份
4,国信证券股份有限公司浙江互联网分公司,30189525.0,0.010259521573,13659284.7,0.004641932129,16530240.3,日换手率达到20%的前5只证券,000601,韶能股份
5,中国中金财富证券有限公司上海分公司,27914824.0,0.009486493711,140089.0,4.7607444e-05,27774735.0,日换手率达到20%的前5只证券,000601,韶能股份
1,深股通专用,115124755.4,0.039123666625,124072786.88,0.042164539974,-8948031.48,日换手率达到20%的前5只证券,000601,韶能股份
